StAX processor created successfully
Starting file processing
Editors:
xscvxc - 2005981
Miroff - 560406
siberiano - 436871
msergeyv100 - 286077
vitstud54 - 117949
Kaylee - 99500
AndreySmirnov - 98787
whalerich - 98086
Pavel Melnikov - 96683
Sherper - 94298
demon_h - 83549
Guamo - 64595
A54 - 59172
Antonio_92 - 52103
koSS_Rus - 44290
oo-O-oo - 42530
ONT - 41282
Magomogo - 40057
yohanson - 32302
alex_hitman - 27042
mike_lyulyukin - 26618
maximaximax - 26484
Географ - 25685
velonavt - 24863
MAS - 21969
rockcreek - 20626
Павел Яринюк - 20197
VlIvYur - 19264
katpatuka - 18049
Nikolaev - 17004
ilya3l - 16177
pruosm - 14968
ImmortAlex - 13317
Ratty - 12513
serhod - 12437
afonin - 12368
ThaJk - 11920
vanomel - 11103
Karaban2008 - 10728
andrewK - 10011
malic - 10003
Басмач - 9446
vanchester - 6419
SunWind1076 - 6053
PARKER1979 - 5820
Vodila_55 - 5513
Takuto - 5323
usama - 5286
ordorub - 5230
Shtirlits - 4642
Fenuks - 4537
Ошкуй - 4528
Z440 - 4523
F1ex - 4499
Anatoli - 4441
markonspbkem - 4292
max041 - 4292
Sergey_Dzhagov - 4202
Kuprienko_Viktor - 4185
Aleksandr Dezhin - 4029
zebooka - 3915
GreedyGhost - 3775
titanlis - 3678
alex_k1 - 3662
orb04 - 3648
kimol - 3583
ghelius - 3450
CrazyViny - 2986
Upliner - 2936
Gde-ja - 2891
Artamonovserg - 2841
Sergey N - 2692
Sasha_belok - 2577
Stroger - 2496
dimryb - 2487
zynsk - 2260
te_mark - 2248
Brait - 2076
MichaelCollinson - 2064
OldIvantey - 1817
lmaximov - 1738
Dharma-ae - 1731
Виталий Махно - 1639
v-ozersk - 1637
MrYadro - 1602
Vlad2011_2011 - 1519
pankdm - 1512
bs1980 - 1508
Jake Strine - 1461
iWowik - 1430
Inego - 1310
IVM - 1308
Spol81 - 1298
Xmypblu - 1279
test67 - 1279
Mob!us - 1254
МаксимГавронин - 1226
ffk - 1188
Komяpa - 1175
Эцелоп - 1124
Kostik - 1112
Slau - 1092
Cronium - 1018
AMDmi3 - 1009
old_Bibigon - 983
Kosyak - 945
OldStar - 938
axtom - 934
Igor Reshta - 932
dndred - 918
SolTomsk1 - 916
progserega - 916
RSergei - 903
Whitenight - 893
Stane - 865
donprogramist - 853
Александр Обливальный - 806
Dommel5 - 765
apLight - 747
jmaks - 747
maa - 745
Angara - 742
denis_burij - 721
Dyom - 717
dkiselev - 709
demon1981 - 707
layt - 704
Андрей Дунаев - 691
Golovco Anatolie - 688
literan - 667
LeonidDemidow - 662
Baris17 - 661
Yurez_nsk - 658
Silver87 - 651
AleXanDeR_G - 648
Nucleardragon - 643
toyotagps - 615
mesousa - 597
Aleksey Ovchinnikov - 594
telefonist - 593
rogallic - 586
telec121 - 566
DmitrySA - 564
54navi - 554
guggis - 553
Zhivin - 551
alex_iz_novosiba - 544
veslav - 521
iPhonin - 514
devo4ka-napilnik - 503
UMA - 494
Angry Lizard - 491
dfcz55-73 - 490
ogion76 - 465
sersilin - 456
olegta - 451
ivan-ivanych - 451
shrk - 450
Alexey - 447
yandobrov - 443
DDD5 - 433
Pavel_Ku - 394
dfcz55 - 383
bayl - 380
alexmak - 374
Mars_Bogdanow - 371
Byrbl - 369
orionll - 360
vezneves1 - 350
kir - 349
parukhin - 349
pavel_vv - 344
LLlypuk82 - 335
lifeslider - 334
chilin - 333
Fuse100A - 332
sefas - 329
Karemater - 326
Victor Kachesov - 320
w23 - 313
Maarten Deen - 311
Stalker61 - 303
Alexander Leschinsky - 303
rrv - 299
LexIgnatov - 295
Scaurr0ck - 292
Maxim_NSK - 289
andrean_ - 288
Ramir - 287
Yuri Zimin - 284
Xray2 - 279
keepright! er - 276
Greensk - 275
Букин - 275
aleksey777 - 273
Айган - 269
mkolomeitsev - 268
doga - 266
KartaBY - 256
Dmitry Y - 244
Федосов Сергей - 233
chnav - 231
Andrej293 - 225
Egor Kalinovsky - 213
Andrey Astrakhanzev - 212
Lazarevsk - 203
_VAsek_ - 202
Dimcus - 202
polemiker10 - 199
brlumen - 194
Алекс812 - 186
s1eepwa1ker - 184
Runich - 181
dostalker - 175
Serguei Dukachev - 173
tony-k - 170
AduchiMergen - 166
alienchita - 164
glebius - 161
Fox_sibirsky - 161
mit3612 - 155
Larchen - 153
Dmanys - 152
dannykath - 151
FvGordon - 149
tav - 149
Premer - 148
Kudr - 147
Ed_MSL - 146
altsky - 146
OSMF Redaction Account - 144
wicked - 144
vomuanyd - 144
Strober - 142
TarzanASG - 142
Demon_NSK - 140
Practix - 138
aptala - 136
RymenarNsk - 135
ipp1963 - 134
Санчес - 130
webart50 - 128
Azork - 128
samely - 128
kosmosoff - 127
Brom - 126
antonpa - 126
werner2101 - 126
DerLeere - 121
gao - 121
Constantin1913 - 120
Nicolai - 117
